time,pressure_GS_5,temperature_GS_5,void_GS_5
0.38,841772.81309097,465.50282467616,0.9633
0.381,841710.06858253,465.37500572649,0.9633
0.382,826592.49803066,465.24720312408,0.96334732824427
0.383,802561.85834838,464.98959098631,0.9634
0.384,783221.26923704,464.73328583231,0.9625
0.385,779000.24861242,464.45728189478,0.9625
0.386,766126.34979681,464.18123803137,0.96164467894028
0.387,751009.46693481,463.82937489536,0.9617
0.388,736095.55344396,463.36920252687,0.9607
0.389,731874.56136597,463.09316641368,0.9607
0.39,712534.12949236,462.66714507014,0.9607
0.391,690542.63000776,462.53932626358,0.9607
0.392,675425.74827561,462.13516440916,0.9609
0.393,675363.00360785,461.59914216204,0.9609
0.394,675300.25892969,461.06308962453,0.9609
0.395,675237.52008126,460.5270523741,0.9609
0.396,675174.77085523,460.21285306291,0.96
0.397,675112.02816272,459.95525714106,0.96008495734172
0.398,675049.28497507,459.82743888179,0.95979199819168
0.399,674986.54808908,459.69961954868,0.9592
0.4,674923.79911533,459.53704393846,0.95890420433996
0.401,674861.05877483,459.13103039502,0.9583
0.402,674798.3195147,458.33499887973,0.95720990054249
0.403,674735.57573861,457.79897574084,0.9566
0.404,674672.83107338,457.52299426042,0.95548385345997
0.405,674610.0906576,457.24538269653,0.9548
0.406,674547.34770523,456.85795429735,0.954
0.407,674484.60331399,456.69486899884,0.954
0.408,674421.8618005,456.15891004776,0.95402877019749
0.409,674359.1188702,455.82552611954,0.9541
0.41,659242.23742212,455.34685806871,0.955
0.411,654132.77864444,455.07087725607,0.955
0.412,644062.60984505,454.53483996374,0.955
0.413,628946.41644027,453.98137288643,0.955
0.414,613829.52834099,453.12919977135,0.9559
0.415,607008.11301719,452.40673160961,0.9567
0.416,598649.21939397,452.13073523215,0.9586
0.417,583533.0294223,451.81759528113,0.9603
0.418,583470.28647812,451.44872334527,0.96131636201516
0.419,583407.54355382,451.30238779611,0.963
0.42,583344.80060146,450.50668718582,0.9674541926851
0.421,568227.9187587,449.80258338443,0.9691
0.422,568165.17408055,449.1746260346,0.97011725367811
0.423,558119.08639821,448.63861111667,0.9719
0.424,552985.55249299,448.19714141755,0.9727
0.425,552922.80817308,447.95655338445,0.9737
0.426,537806.61478976,447.54899187132,0.97623703208556
0.427,537743.8701116,446.75448653804,0.9781
0.428,537013.88723408,446.21849586755,0.9799
0.429,522564.24455851,445.62393948144,0.9816
0.43,507447.36095515,444.93884148514,0.98325033437361
0.431,494112.07787392,444.57664768002,0.9834
0.432,489887.68660508,444.20444618951,0.98348123035474
0.433,477150.85825055,444.05838542541,0.9843
0.434,462033.97263488,443.8038043606,0.9844
0.435,446986.57924204,443.50639125448,0.9853
0.436,446855.04079863,443.23039416497,0.98617507858105
0.437,446792.29616594,442.69441157563,0.9879
0.438,446729.55146027,442.15836025087,0.9888
0.439,431612.66925421,441.86677330827,0.9888
0.44,425881.83863698,441.73895433377,0.9897
0.441,416433.04515996,441.61113565792,0.9897
0.442,401316.16401474,441.61314921358,0.9889
0.443,386199.28026213,441.42832670336,0.9889
0.444,378755.63800798,441.09790186987,0.9889
0.445,371019.658852,440.74629388201,0.9889
0.446,355902.77142648,440.47025647687,0.9889
0.447,355840.03272935,440.32430712176,0.9881
0.448,346754.43903006,440.06746278245,0.9872
0.449,340661.09465879,440.06947651192,0.98620375395748
0.45,340598.24669904,439.8862616271,0.98403500678426
0.451,325481.46982259,439.6840617404,0.9828
0.452,314749.79003988,439.55621965621,0.9828
0.453,310301.84576142,439.42847944106,0.98387953633527
0.454,295184.96295085,439.30066049653,0.9855
0.455,280068.0800917,439.04305754952,0.98644638715433
0.456,280005.33546792,438.8801793222,0.9872
0.457,279942.59646709,438.52781734741,0.9872
0.458,279879.84842693,438.2702214885,0.9874
0.459,279817.11174823,438.05217215448,0.9874
0.46,279754.36828649,437.88480656653,0.9865
0.461,279691.6246273,437.37018383038,0.9856
0.462,279628.88289113,436.98017274667,0.9848
0.463,279566.13996438,436.81813402388,0.9821
0.464,279503.40988919,436.17547533085,0.97993147896879
0.465,274996.65554057,435.2833950056,0.9778
0.466,264324.45882765,434.59831536335,0.97642436708861
0.467,264261.71944497,434.02401939627,0.9752
0.468,264198.97579142,433.61802817969,0.97473006329114
0.469,264136.23108576,433.21203120398,0.9743
0.47,264073.4906727,432.84247361457,0.9743
0.471,264010.74772034,432.78998242735,0.9743
0.472,263948.00336621,432.58686029218,0.9744
0.473,263885.26181561,432.45907257252,0.97517467677218
0.474,263822.51886324,432.09198246738,0.9752
0.475,263759.77560683,431.68593735491,0.9752
0.476,248642.89071136,431.27994784244,0.9752
0.477,248580.14935515,430.90941433289,0.9752
0.478,248517.40895428,430.59790535338,0.9752
0.479,248454.65971294,430.39419156922,0.9762
0.48,248391.92036451,430.17581046171,0.9762
0.481,248329.17823377,429.8998604592,0.9762
0.482,248266.43714481,429.75110190679,0.9771
0.483,248203.69260512,429.36377663608,0.9771
0.484,248140.95124008,428.9418512857,0.9781
0.485,248078.20830742,428.5357657097,0.9781
0.486,248015.46484573,428.20152299255,0.979
0.487,247952.72244768,427.85377935,0.979
0.488,232835.84133112,427.31777870191,0.9808
0.489,232773.09837875,427.1691007566,0.98227650468123
0.49,229951.47268221,426.91149140281,0.9843
0.491,217594.16087679,426.74972037584,0.98486852429782
0.492,202477.27797201,426.21372940365,0.9861
0.493,202414.53339663,425.67771392913,0.98760240641711
0.494,197945.75108326,425.14169292525,0.9888
0.495,187234.91202894,424.8446413146,0.9888
0.496,172118.02824054,424.32969457306,0.9888
0.497,157000.45758867,424.05364287164,0.9879
0.498,150821.38861196,423.81218861614,0.98779457259159
0.499,141821.52301606,423.554592665,0.9856377034358
0.5,126705.33133626,423.35558911898,0.98441243825775
0.501,111588.44398278,423.16917787781,0.9845
0.502,103699.3410756,422.67359295408,0.9845
0.503,96408.821184228,422.13756488358,0.9845
0.504,96346.07696757,421.74733843742,0.9845
0.505,96283.334024204,421.7155623109,0.9845
0.506,105545.01888397,421.49170074503,0.9845
0.507,111211.9869759,421.36390729404,0.98455536596318
0.508,111149.24856212,421.23611851163,0.9854
0.509,111086.50393968,421.10829956998,0.9855
0.51,111023.75746397,420.98048289354,0.9864
0.511,110961.02085705,420.98249427583,0.9872
0.512,110898.27160423,420.98449480583,0.9881
0.513,110835.53154642,420.85668928424,0.9889
0.514,110772.79085708,420.79147108413,0.98985289919715
0.515,109306.39907933,420.73088403543,0.98994304308797
0.516,95592.47610552,420.73288616639,0.9917
0.517,95529.731436359,420.48347837808,0.9935
0.518,95466.992554104,420.47725984998,0.99508693713776
0.519,95404.248373133,420.32147403601,0.9962
0.52,95341.503703973,419.91547255611,0.9971
0.521,95279.448514812,419.5094264614,0.9971
0.522,95216.710120746,419.4468007012,0.9971
0.523,95153.965451586,419.21747256026,0.998
0.524,95091.220782425,418.81142744778,0.9989
0.525,95028.481430537,418.26606301643,1.0007
0.526,94965.737719199,417.58112667049,1.0016
0.527,94902.993050039,416.94336348371,1.0033
0.528,94840.252600437,416.40734567973,1.0033
0.529,94778.162896959,416.21573306743,1.0042
0.53,94715.454787652,415.85529687836,1.0051
0.531,94652.710088522,415.70052186656,1.0061267944717
0.532,94589.97029697,415.44292181171,1.0087
0.533,94527.221079936,415.28727806132,1.0069
0.534,94464.484410237,415.05751107318,1.0069
0.535,94401.73894285,414.86526033694,1.0069
0.536,94338.998523503,414.54228382003,1.0069
0.537,94276.255580136,414.4144881916,1.0069
0.538,94213.51263677,414.15684897447,1.0069
0.539,94150.769693403,413.76947254921,1.0069
0.54,94087.356100874,413.5118688505,1.0069
0.541,109079.42198608,413.33922279764,1.0069
0.542,109016.67903371,413.12643847307,1.0069
0.543,108953.93739813,412.73903697649,1.0069
0.544,108891.19312898,412.64117488085,1.0069
0.545,108828.45024227,412.4833990959,1.0069
0.546,123819.1583833,412.34917927406,1.0069
0.547,123756.41376655,412.09798447302,1.0069
0.548,123693.78845959,411.92717672723,1.0069
0.549,123631.62014141,411.65115007024,1.0069
0.55,138623.01811647,411.45497381921,1.0069
0.551,138560.27523508,411.22913625497,1.0069
0.552,138497.53062658,410.69313390734,1.0069
